Year,Trade_Flow,Reporter,Reporter_ISO,Partner,Partner_ISO,Trade_Value
2019,Import,Argentina,ARG,Maldives,MDV,733
2019,Export,Argentina,ARG,Maldives,MDV,654119
2019,Import,Argentina,ARG,Mali,MLI,4178
2019,Export,Argentina,ARG,Mali,MLI,5008210
2019,Import,Argentina,ARG,Malta,MLT,1327512
2019,Export,Argentina,ARG,Malta,MLT,93674230
2019,Import,Argentina,ARG,Mauritania,MRT,795
2019,Export,Argentina,ARG,Mauritania,MRT,9865999
2019,Import,Argentina,ARG,Mauritius,MUS,348194
2019,Export,Argentina,ARG,Mauritius,MUS,40380107
2019,Import,Argentina,ARG,Mexico,MEX,1125232887
2019,Export,Argentina,ARG,Mexico,MEX,669689499
2019,Import,Argentina,ARG,"Other Asia, nes",,283920667
2019,Export,Argentina,ARG,"Other Asia, nes",,163908490
2019,Import,Argentina,ARG,Mongolia,MNG,843
2019,Export,Argentina,ARG,Mongolia,MNG,2731140
2019,Import,Argentina,ARG,Rep. of Moldova,MDA,103896
2019,Export,Argentina,ARG,Rep. of Moldova,MDA,2600462
2019,Import,Argentina,ARG,Montenegro,MNE,2192
2019,Export,Argentina,ARG,Montenegro,MNE,2446747
2019,Import,Argentina,ARG,Morocco,MAR,200707906
2019,Export,Argentina,ARG,Morocco,MAR,611690990
2019,Import,Argentina,ARG,Mozambique,MOZ,361046
2019,Export,Argentina,ARG,Mozambique,MOZ,104371016
2019,Import,Argentina,ARG,Oman,OMN,52502845
2019,Export,Argentina,ARG,Oman,OMN,97672422
2019,Import,Argentina,ARG,Namibia,NAM,1517
2019,Export,Argentina,ARG,Namibia,NAM,3559699
2019,Import,Argentina,ARG,Nepal,NPL,3695
2019,Export,Argentina,ARG,Nepal,NPL,2116478
2019,Import,Argentina,ARG,Netherlands,NLD,446925931
2019,Export,Argentina,ARG,Netherlands,NLD,1806600338
2019,Import,Argentina,ARG,Curaçao,CUW,8602
2019,Export,Argentina,ARG,Curaçao,CUW,6982828
2019,Import,Argentina,ARG,Aruba,ABW,3
2019,Export,Argentina,ARG,Aruba,ABW,4954059
2019,Export,Argentina,ARG,Bonaire,BES,10632145
2019,Import,Argentina,ARG,New Zealand,NZL,12844958
2019,Export,Argentina,ARG,New Zealand,NZL,144113842
2019,Import,Argentina,ARG,Nicaragua,NIC,544958
2019,Export,Argentina,ARG,Nicaragua,NIC,26656643
2019,Import,Argentina,ARG,Niger,NER,9790
2019,Export,Argentina,ARG,Niger,NER,3824256
2019,Import,Argentina,ARG,Nigeria,NGA,1920950
2019,Export,Argentina,ARG,Nigeria,NGA,111020682
2019,Import,Argentina,ARG,Norway,NOR,44028662
2019,Export,Argentina,ARG,Norway,NOR,22051658
2019,Import,Argentina,ARG,N. Mariana Isds,MNP,941
2019,Import,Argentina,ARG,Marshall Isds,MHL,141535
2019,Import,Argentina,ARG,Pakistan,PAK,35441055
2019,Export,Argentina,ARG,Pakistan,PAK,101912418
2019,Import,Argentina,ARG,Panama,PAN,200972
2019,Export,Argentina,ARG,Panama,PAN,169487611
2019,Import,Argentina,ARG,Papua New Guinea,PNG,33132
2019,Export,Argentina,ARG,Papua New Guinea,PNG,257549
2019,Import,Argentina,ARG,Paraguay,PRY,1646757476
2019,Export,Argentina,ARG,Paraguay,PRY,1017140462
2019,Import,Argentina,ARG,Peru,PER,128127417
2019,Export,Argentina,ARG,Peru,PER,1588094707
2019,Import,Argentina,ARG,Philippines,PHL,102998702
2019,Export,Argentina,ARG,Philippines,PHL,309488491
2019,Import,Argentina,ARG,Poland,POL,225928361
2019,Export,Argentina,ARG,Poland,POL,506023500
2019,Import,Argentina,ARG,Portugal,PRT,73608998
2019,Export,Argentina,ARG,Portugal,PRT,99858859
2019,Import,Argentina,ARG,Guinea-Bissau,GNB,21333
2019,Import,Argentina,ARG,Timor-Leste,TLS,183
2019,Import,Argentina,ARG,Qatar,QAT,35829203
2019,Export,Argentina,ARG,Qatar,QAT,49437987
2019,Import,Argentina,ARG,Romania,ROU,84284278
2019,Export,Argentina,ARG,Romania,ROU,43977581
2019,Import,Argentina,ARG,Russian Federation,RUS,240660224
2019,Export,Argentina,ARG,Russian Federation,RUS,650339837
2019,Import,Argentina,ARG,Rwanda,RWA,3
2019,Export,Argentina,ARG,Rwanda,RWA,3174013
2019,Import,Argentina,ARG,Saint Kitts and Nevis,KNA,282630
2019,Export,Argentina,ARG,Saint Kitts and Nevis,KNA,136082
2019,Export,Argentina,ARG,Saint Lucia,LCA,386327
2019,Export,Argentina,ARG,Saint Vincent and the Grenadines,VCT,125383
2019,Import,Argentina,ARG,San Marino,SMR,363434
2019,Import,Argentina,ARG,Saudi Arabia,SAU,116234298
2019,Export,Argentina,ARG,Saudi Arabia,SAU,1010366624
2019,Import,Argentina,ARG,Senegal,SEN,8273
2019,Export,Argentina,ARG,Senegal,SEN,90347846
2019,Import,Argentina,ARG,Serbia,SRB,9222659
2019,Export,Argentina,ARG,Serbia,SRB,7637595
2019,Import,Argentina,ARG,Seychelles,SYC,47446
2019,Import,Argentina,ARG,Sierra Leone,SLE,57428
2019,Export,Argentina,ARG,Sierra Leone,SLE,964023
